City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,mulchen,-37.7167,-72.2333,15.92,40,0,3.49,CL,2023-12-13
280,tateyama,34.9833,139.8667,11.72,57,79,1.56,JP,2023-12-13
281,sur,22.5667,59.5289,25.62,41,55,3.94,OM,2023-12-13
282,juan aldama,24.2908,-103.3944,9.07,80,100,3.73,MX,2023-12-13
283,bom jesus,-9.0744,-44.3586,35.79,29,0,2.95,BR,2023-12-13
284,sarangani,5.4033,125.4636,28.89,74,16,8.85,PH,2023-12-13
285,ambodifotatra,-16.9833,49.85,27.31,77,100,6.16,MG,2023-12-13
286,nikolayevsk-on-amure,53.1406,140.73,-22.49,84,98,6.9,RU,2023-12-13
287,bada,51.392,109.8717,-24.87,97,98,1.52,RU,2023-12-13
288,kilindoni,-7.9139,39.6668,28.94,71,7,2.68,TZ,2023-12-13
289,la ronge,55.1001,-105.2842,-1.86,59,100,1.54,CA,2023-12-13
290,betio village,1.358,172.9211,29.02,81,100,4.7,KI,2023-12-13
291,taltal,-25.4,-70.4833,19.59,69,16,2.42,CL,2023-12-13
292,sawakin,19.1059,37.3321,25.35,48,100,7.12,SD,2023-12-13
293,severo-yeniseyskiy,60.3725,93.0408,-31.9,99,100,2.24,RU,2023-12-13
294,puerto aysen,-45.4,-72.7,9.57,90,100,2.34,CL,2023-12-13
295,lerwick,60.1545,-1.1494,6.0,70,31,7.82,GB,2023-12-13
296,chonchi,-42.6128,-73.8092,12.84,58,82,1.1,CL,2023-12-13
297,serhiyivka,46.0272,30.3768,8.08,79,99,5.79,UA,2023-12-13
298,sinabang,2.4803,96.3801,27.08,81,25,1.87,ID,2023-12-13
299,berrouaghia,36.1352,2.9109,16.73,38,2,8.43,DZ,2023-12-13
300,hawaiian paradise park,19.5933,-154.9731,20.02,97,100,2.57,US,2023-12-13
301,st. paul,44.9444,-93.0933,-2.9,60,0,1.54,US,2023-12-13
302,murzuq,25.9155,13.9184,21.52,27,0,1.57,LY,2023-12-13
303,berwick-upon-tweed,55.7833,-2.0,6.13,66,100,4.96,GB,2023-12-13
304,alto araguaia,-17.3147,-53.2153,32.32,37,2,3.68,BR,2023-12-13
305,saldanha,-33.0117,17.9442,24.03,68,7,10.7,ZA,2023-12-13
306,portsmouth,50.799,-1.0913,8.45,82,97,4.47,GB,2023-12-13
307,koumra,8.9126,17.5539,35.37,11,7,2.9,TD,2023-12-13
308,babu,24.4167,111.5167,21.72,75,100,1.48,CN,2023-12-13
309,dudinka,69.4058,86.1778,-24.07,94,100,8.05,RU,2023-12-13
310,nasir,15.5894,32.5634,26.53,13,6,6.9,SD,2023-12-13
311,coahuayana de hidalgo,18.7,-103.6583,23.42,51,100,1.54,MX,2023-12-13
312,lubango,-14.9172,13.4925,19.94,64,100,3.16,AO,2023-12-13
313,zhengjiatun,43.5064,123.5064,-14.03,76,100,4.72,CN,2023-12-13
314,jamestown,42.097,-79.2353,-0.16,78,75,3.6,US,2023-12-13
315,tieli,46.95,128.05,-29.11,99,16,1.24,CN,2023-12-13
316,lodja,-3.4833,23.4333,22.12,97,100,0.7,CD,2023-12-13
317,oulmes,33.4258,-6.0014,16.17,38,0,5.59,MA,2023-12-13
318,waingapu,-9.6567,120.2641,27.69,77,88,0.79,ID,2023-12-13
319,manakara,-22.1333,48.0167,27.97,73,100,5.64,MG,2023-12-13
320,halikko,60.4,23.0833,-6.51,89,100,0.45,FI,2023-12-13
321,fuglafjordur,62.244,-6.814,6.26,70,100,8.94,FO,2023-12-13
322,lubang,13.8584,120.124,28.12,79,0,11.21,PH,2023-12-13
323,yaren,-0.5472,166.916,28.97,77,100,5.07,NR,2023-12-13
324,ulladulla,-35.35,150.4667,24.34,66,100,3.1,AU,2023-12-13
325,nabire,-3.3667,135.4833,26.37,89,99,0.75,ID,2023-12-13
326,nantucket,41.2835,-70.0995,5.08,73,1,8.03,US,2023-12-13
327,ngaoundere,7.3167,13.5833,29.57,17,100,2.97,CM,2023-12-13
328,sasayama,35.0667,135.2167,9.7,88,1,1.64,JP,2023-12-13
329,wenshang,35.7275,116.4961,1.74,94,100,2.89,CN,2023-12-13
330,demir hisar,41.2217,21.2031,13.36,65,100,2.31,MK,2023-12-13
